丁咯地尔,5
七叶皂苷,1
三磷酸腺苷,4
丹参酮ⅡA磺酸钠,3+5
乙胺丁醇,6
乙酰谷酰胺,5
二甲双胍,6
亚胺培南西司他丁钠,8
依替米星,8
依达拉奉,5
依那普利,2
兰索拉唑,6
养血清脑颗粒,3
冠心宁注射液,3
利多卡因,7
利福平,8
单唾液酸四己糖神经节苷酯,5
单硝酸异山梨酯,2
卡托普利,2
厄贝沙坦,2
去乙酰毛花苷,11
去白细胞浓缩红细胞,11
参松养心胶囊,3
参麦注射液,2
双氯芬酸,7
右佐匹克隆,7
叶酸,5
吡嗪酰胺,6
吡拉西坦,5
吲达帕胺,1
呋塞米,1
哌拉西林三唑巴坦,8
喜炎平注射液,6
地塞米松,11
地西泮,7
地高辛,12
复合维生素B,4+5
复方利血平氨苯蝶啶,2
复方川芎胶囊,5
复方氨基比林（安痛定）,7
复方氨基酸,4+5
复方氯化钠,10
复方溴咖片（健脑片）,5
复方雷尼替丁胶囊,6
复方麝香注射液,5
多巴胺,5
多潘立酮,6
多烯磷脂酰胆碱,6
多索茶碱,6
头孢他啶,8
头孢克肟,8
头孢呋辛,8
头孢哌酮舒巴坦,8
头孢唑啉,8
头孢噻肟,8
头孢孟多酯,8
头孢硫脒,8
头痛宁胶囊,6
奈替米星,8
奥拉西坦,5
奥美拉唑,6
妥布霉素,8
小牛血清去蛋白,5
尼可刹米,11
尼群地平,2
尼莫地平,3
尿激酶,3
山莨菪碱,3
左旋氨氯地平,2
左氧氟沙星,8
布地奈德,6
庆大霉素,8
开塞露,11
异烟肼,6
护肝宁片,6
普伐他汀,6
曲美布汀,6
曲马多,7
替米沙坦,2
果糖,4
柴胡注射液,6
格列吡嗪,6
格列齐特,6
桂哌齐特,3
氟伐他汀,6
氟哌噻吨美利曲辛,6
氟康唑,8
氟桂利嗪,3
氢氯噻嗪,1+2
氨基己酸,9
氨溴索,6
氨甲环酸,9
氨甲苯酸,9
氨茶碱,6
氯化钙,10
氯化钠,10
氯化钾,10
氯已定,11
氯芬待因,7
氯苯那敏(扑尔敏),6
水溶性维生素,4
法莫替丁,6
泮托拉唑,6
洛伐他汀,6
洛贝林,11
活血通脉片,3
浓缩血小板,11
湿润烧伤膏,6
灯盏花素,3
特布他林,6
特拉唑嗪,2
环磷腺苷葡胺,12
瑞格列奈,6
甘油果糖,1
甘露醇,1
生脉注射剂,3
甲基强的松龙,6
甲氧氯普胺,6
甲钴胺,5
疏血通,3
痰热清注射液,6
白眉蛇毒血凝酶,9
益气复脉注射剂,12
破伤风抗毒素,8
硝苯地平,2
硝酸异山梨酯,2
硝酸异山梨醇酯,2
硝酸甘油,2
硫酸镁,6
碘普罗胺,11
碘海醇,11
碳酸氢钠,3
碳酸钙,10
红花注射液,3
红花黄色素,3
纳洛酮,3+5
维拉帕米,12
维生素B1,4+5
维生素B12,4+5
维生素B6,4+5
维生素C,4
缬沙坦,2
美托洛尔,2
美洛西林,8
美洛西林舒巴坦,8
美罗培南（美洛培南）,8
肌苷,5
肝素,9
肾上腺素,2
胞磷胆碱（胞二磷胆碱）,5
胰岛素,6
胰激肽原酶,3
胺碘酮,11
脂溶性维生素,4
脂肪乳,4
脑心通胶囊,3
脑苷肌肽,5
脑蛋白水解物,5
舒血宁注射液,3+5
艾司唑仑,7
苦碟子注射液,3
苯巴比妥,7
苯海拉明,7
茶碱,6
莫沙比利,6
葡萄糖,4
葡萄糖氯化钠,10
葡萄糖酸钙,10
蔗糖铁注射液,10
螺内酯,1
血塞通注射液,3
血栓通注射液,3
西咪替丁,6
赖氨匹林,7
转化糖电解质,10
辅酶A,5
辛伐他汀,6
还原型谷胱甘肽,4
通心络胶囊,3
酚磺乙胺,9
酪酸梭菌活菌,6
醒脑静注射剂,3+5
重组人红细胞生成素,11
银杏叶,3
银杏达莫注射液,3
长春西汀,3
门冬氨酸钾镁,10
门冬胰岛素,6
阿司匹林,7
阿奇霉素,8
阿莫西林舒巴坦,8
青霉素,8
静脉输液,4
静脉输血,11
非诺贝特,6
非那雄胺,6
骨化三醇,4
