-,-
ABO亚型鉴定,ABO亚型鉴定
B超常规检查,B超
B超检查,B超
Rh血型其他抗原鉴定,Rh血型鉴定
Rh血型的C抗原鉴定,Rh血型鉴定
Rh血型的E抗原鉴定,Rh血型鉴定
Rh血型鉴定,Rh血型鉴定
X线摄影,X线摄影
X线计算机体层(CT)增强扫描,X线计算机体层(CT)增强扫描
X线计算机体层(CT)扫描,X线计算机体层(CT)扫描
X线计算机体层(CT)扫描（螺旋）,X线计算机体层(CT)扫描（螺旋）
α2-巨球蛋白测定,α2-巨球蛋白测定
β2微球蛋白测定,肾功能
Ⅰ级护理,Ⅰ级护理
Ⅱ级护理,Ⅱ级护理
Ⅲ级护理,Ⅲ级护理
一般细菌培养及鉴定,一般细菌培养及鉴定
一般细菌涂片检查,一般细菌涂片检查
丁咯地尔,丁咯地尔
七叶皂苷,七叶皂苷
三磷酸腺苷,三磷酸腺苷
上消化道造影,上消化道造影
丙型肝炎抗体测定,感染性疾病筛查
中心静脉测压,中心静脉测压
中换药,中换药
丹参酮ⅡA磺酸钠,丹参酮ⅡA磺酸钠
乙型肝炎DNA测定,感染性疾病筛查
乙型肝炎e抗体测定,感染性疾病筛查
乙型肝炎核心IgM抗体测定,感染性疾病筛查
乙型肝炎核心抗体测定,感染性疾病筛查
乙型肝炎核心抗原测定,感染性疾病筛查
乙型肝炎表面抗体测定,感染性疾病筛查
乙型肝炎表面抗原测定,感染性疾病筛查
乙胺丁醇,乙胺丁醇
乙酰谷酰胺,乙酰谷酰胺
乳酸脱氢酶测定,心血管检测指标
二甲双胍,二甲双胍
亚胺培南西司他丁钠,亚胺培南西司他丁钠
人免疫缺陷病毒抗体测定,感染性疾病筛查
会阴冲洗,会阴冲洗
住院诊查,住院诊查
依替米星,依替米星
依达拉奉,依达拉奉
依那普利,依那普利
促甲状腺素受体抗体测定,甲状腺测定
促红细胞生成素测定,促红细胞生成素测定
偏瘫肢体综合训练,偏瘫肢体综合训练
免疫球蛋白定量测定,免疫球蛋白定量测定
全血粘度测定,全血粘度测定
兰索拉唑,兰索拉唑
养血清脑颗粒,养血清脑颗粒
冠心宁注射液,冠心宁注射液
冰袋物理降温,冰袋物理降温
冷热湿敷,冷热湿敷
凝血酶时间测定,凝血功能
利多卡因,利多卡因
利福平,利福平
动态血压监测,动态血压监测
动脉采血,动脉采血
动静脉穿刺置管术,动静脉穿刺置管术
动静脉置管护理,动静脉置管护理
动静脉置管术,动静脉置管术
单唾液酸四己糖神经节苷酯,单唾液酸四己糖神经节苷酯
单硝酸异山梨酯,单硝酸异山梨酯
单脏器B超检查,单脏器B超检查
单项补体测定,免疫功能检测
卡托普利,卡托普利
厄贝沙坦,厄贝沙坦
去乙酰毛花苷,去乙酰毛花苷
去白细胞浓缩红细胞,去白细胞浓缩红细胞
参松养心胶囊,参松养心胶囊
参麦注射液,参麦注射液
双氯芬酸,双氯芬酸
口腔护理,口腔护理
右佐匹克隆,右佐匹克隆
叶酸,叶酸
叶酸测定,叶酸测定
吞咽功能障碍训练,吞咽功能障碍训练
吡嗪酰胺,吡嗪酰胺
吡拉西坦,吡拉西坦
吲达帕胺,吲达帕胺
吸痰护理,吸痰护理
呋塞米,呋塞米
呼吸机辅助呼吸,呼吸机辅助呼吸
哌拉西林三唑巴坦,哌拉西林三唑巴坦
喜炎平注射液,喜炎平注射液
四肢血管彩色多普勒超声,四肢血管彩色多普勒超声
地塞米松,地塞米松
地西泮,地西泮
地高辛,地高辛
备皮,备皮
复合维生素B,复合维生素B
复方利血平氨苯蝶啶,复方利血平氨苯蝶啶
复方川芎胶囊,复方川芎胶囊
复方氨基比林（安痛定）,复方氨基比林（安痛定）
复方氨基酸,复方氨基酸
复方氯化钠,复方氯化钠
复方溴咖片（健脑片）,复方溴咖片（健脑片）
复方雷尼替丁胶囊,复方雷尼替丁胶囊
复方麝香注射液,复方麝香注射液
多巴胺,多巴胺
多潘立酮,多潘立酮
多烯磷脂酰胆碱,多烯磷脂酰胆碱
多索茶碱,多索茶碱
大抢救,大抢救
大换药,大换药
头孢他啶,头孢他啶
头孢克肟,头孢克肟
头孢呋辛,头孢呋辛
头孢哌酮舒巴坦,头孢哌酮舒巴坦
头孢唑啉,头孢唑啉
头孢噻肟,头孢噻肟
头孢孟多酯,头孢孟多酯
头孢硫脒,头孢硫脒
头痛宁胶囊,头痛宁胶囊
奈替米星,奈替米星
奥拉西坦,奥拉西坦
奥美拉唑,奥美拉唑
妇科彩色多普勒超声检查,妇科彩色多普勒超声检查
妥布霉素,妥布霉素
室壁运动分析,室壁运动分析
导尿,导尿
小抢救,小抢救
小换药,小换药
小牛血清去蛋白,小牛血清去蛋白
尼可刹米,尼可刹米
尼群地平,尼群地平
尼莫地平,尼莫地平
尿α1微量球蛋白测定,肾功能
尿培养加菌落计数,尿培养加菌落计数
尿常规检查,尿液一般检查
尿微量白蛋白测定,肾功能
尿沉渣定量,尿液一般检查
